carrier,service_name,service_tier,zone,weight_min_lbs,weight_max_lbs,rate_type,rate_usd,effective_date,source_file
FedEx,FedEx 2Day,2DAY,2,0,0.5,flat_per_package,26.46,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,0,0.5,flat_per_package,27.74,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,0,0.5,flat_per_package,29.44,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,0,0.5,flat_per_package,35.94,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,0,0.5,flat_per_package,42.8,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,0,0.5,flat_per_package,46.04,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,0,0.5,flat_per_package,46.97,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,1.0,1.0,flat_per_package,26.46,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,1.0,1.0,flat_per_package,27.74,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,1.0,1.0,flat_per_package,29.44,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,1.0,1.0,flat_per_package,35.94,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,1.0,1.0,flat_per_package,42.8,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,1.0,1.0,flat_per_package,46.04,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,1.0,1.0,flat_per_package,46.97,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,2.0,2.0,flat_per_package,27.54,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,2.0,2.0,flat_per_package,29.1,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,2.0,2.0,flat_per_package,30.58,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,2.0,2.0,flat_per_package,39.04,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,2.0,2.0,flat_per_package,48.67,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,2.0,2.0,flat_per_package,53.33,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,2.0,2.0,flat_per_package,56.12,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,3.0,3.0,flat_per_package,27.98,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,3.0,3.0,flat_per_package,30.04,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,3.0,3.0,flat_per_package,32.39,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,3.0,3.0,flat_per_package,42.99,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,3.0,3.0,flat_per_package,55.2,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,3.0,3.0,flat_per_package,61.77,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,3.0,3.0,flat_per_package,64.38,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,4.0,4.0,flat_per_package,28.84,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,4.0,4.0,flat_per_package,31.1,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,4.0,4.0,flat_per_package,35.06,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,4.0,4.0,flat_per_package,49.55,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,4.0,4.0,flat_per_package,63.78,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,4.0,4.0,flat_per_package,70.55,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,4.0,4.0,flat_per_package,73.29,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,5.0,5.0,flat_per_package,29.71,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,5.0,5.0,flat_per_package,32.1,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,5.0,5.0,flat_per_package,38.11,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,5.0,5.0,flat_per_package,55.07,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,5.0,5.0,flat_per_package,71.24,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,5.0,5.0,flat_per_package,78.59,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,5.0,5.0,flat_per_package,83.38,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,6.0,6.0,flat_per_package,30.99,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,6.0,6.0,flat_per_package,33.35,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,6.0,6.0,flat_per_package,41.54,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,6.0,6.0,flat_per_package,60.11,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,6.0,6.0,flat_per_package,79.2,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,6.0,6.0,flat_per_package,87.35,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,6.0,6.0,flat_per_package,89.1,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,7.0,7.0,flat_per_package,32.29,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,7.0,7.0,flat_per_package,36.55,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,7.0,7.0,flat_per_package,45.06,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,7.0,7.0,flat_per_package,65.7,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,7.0,7.0,flat_per_package,89.08,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,7.0,7.0,flat_per_package,94.42,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,7.0,7.0,flat_per_package,96.33,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,8.0,8.0,flat_per_package,33.59,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,8.0,8.0,flat_per_package,39.88,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,8.0,8.0,flat_per_package,48.22,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,8.0,8.0,flat_per_package,71.68,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,8.0,8.0,flat_per_package,98.57,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,8.0,8.0,flat_per_package,106.81,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,8.0,8.0,flat_per_package,110.69,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,9.0,9.0,flat_per_package,35.31,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,9.0,9.0,flat_per_package,41.64,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,9.0,9.0,flat_per_package,52.09,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,9.0,9.0,flat_per_package,76.95,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,9.0,9.0,flat_per_package,102.68,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,9.0,9.0,flat_per_package,117.13,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,9.0,9.0,flat_per_package,121.5,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,10.0,10.0,flat_per_package,35.62,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,10.0,10.0,flat_per_package,44.4,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,10.0,10.0,flat_per_package,56.11,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,10.0,10.0,flat_per_package,82.19,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,10.0,10.0,flat_per_package,114.5,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,10.0,10.0,flat_per_package,127.41,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,10.0,10.0,flat_per_package,131.44,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,11.0,11.0,flat_per_package,38.72,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,11.0,11.0,flat_per_package,46.75,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,11.0,11.0,flat_per_package,57.88,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,11.0,11.0,flat_per_package,87.89,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,11.0,11.0,flat_per_package,123.6,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,11.0,11.0,flat_per_package,136.57,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,11.0,11.0,flat_per_package,142.41,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,12.0,12.0,flat_per_package,40.78,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,12.0,12.0,flat_per_package,49.51,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,12.0,12.0,flat_per_package,61.06,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,12.0,12.0,flat_per_package,92.85,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,12.0,12.0,flat_per_package,127.47,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,12.0,12.0,flat_per_package,140.68,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,12.0,12.0,flat_per_package,143.51,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,13.0,13.0,flat_per_package,43.65,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,13.0,13.0,flat_per_package,52.08,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,13.0,13.0,flat_per_package,64.28,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,13.0,13.0,flat_per_package,98.42,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,13.0,13.0,flat_per_package,141.84,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,13.0,13.0,flat_per_package,153.61,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,13.0,13.0,flat_per_package,161.1,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,14.0,14.0,flat_per_package,45.85,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,14.0,14.0,flat_per_package,54.78,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,14.0,14.0,flat_per_package,67.54,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,14.0,14.0,flat_per_package,104.09,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,14.0,14.0,flat_per_package,144.1,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,14.0,14.0,flat_per_package,159.66,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,14.0,14.0,flat_per_package,162.86,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,15.0,15.0,flat_per_package,47.58,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,15.0,15.0,flat_per_package,56.11,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,15.0,15.0,flat_per_package,70.83,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,15.0,15.0,flat_per_package,108.11,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,15.0,15.0,flat_per_package,158.49,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,15.0,15.0,flat_per_package,168.8,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,15.0,15.0,flat_per_package,175.97,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,16.0,16.0,flat_per_package,48.7,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,16.0,16.0,flat_per_package,57.98,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,16.0,16.0,flat_per_package,73.91,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,16.0,16.0,flat_per_package,111.63,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,16.0,16.0,flat_per_package,165.44,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,16.0,16.0,flat_per_package,177.44,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,16.0,16.0,flat_per_package,183.44,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,17.0,17.0,flat_per_package,50.19,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,17.0,17.0,flat_per_package,59.71,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,17.0,17.0,flat_per_package,77.11,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,17.0,17.0,flat_per_package,117.0,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,17.0,17.0,flat_per_package,172.9,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,17.0,17.0,flat_per_package,188.19,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,17.0,17.0,flat_per_package,191.96,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,18.0,18.0,flat_per_package,51.87,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,18.0,18.0,flat_per_package,61.67,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,18.0,18.0,flat_per_package,79.92,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,18.0,18.0,flat_per_package,121.03,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,18.0,18.0,flat_per_package,182.42,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,18.0,18.0,flat_per_package,189.28,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,18.0,18.0,flat_per_package,195.35,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,19.0,19.0,flat_per_package,53.93,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,19.0,19.0,flat_per_package,63.37,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,19.0,19.0,flat_per_package,82.29,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,19.0,19.0,flat_per_package,125.97,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,19.0,19.0,flat_per_package,186.64,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,19.0,19.0,flat_per_package,206.83,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,19.0,19.0,flat_per_package,210.97,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,20.0,20.0,flat_per_package,55.79,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,20.0,20.0,flat_per_package,66.1,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,20.0,20.0,flat_per_package,85.47,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,20.0,20.0,flat_per_package,131.84,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,20.0,20.0,flat_per_package,193.28,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,20.0,20.0,flat_per_package,211.16,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,20.0,20.0,flat_per_package,217.78,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,21.0,21.0,flat_per_package,58.39,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,21.0,21.0,flat_per_package,68.68,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,21.0,21.0,flat_per_package,88.68,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,21.0,21.0,flat_per_package,136.29,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,21.0,21.0,flat_per_package,193.95,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,21.0,21.0,flat_per_package,218.42,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,21.0,21.0,flat_per_package,223.03,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,22.0,22.0,flat_per_package,60.19,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,22.0,22.0,flat_per_package,70.91,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,22.0,22.0,flat_per_package,91.12,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,22.0,22.0,flat_per_package,140.14,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,22.0,22.0,flat_per_package,206.67,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,22.0,22.0,flat_per_package,226.76,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,22.0,22.0,flat_per_package,231.67,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,23.0,23.0,flat_per_package,61.09,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,23.0,23.0,flat_per_package,72.46,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,23.0,23.0,flat_per_package,94.39,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,23.0,23.0,flat_per_package,144.13,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,23.0,23.0,flat_per_package,214.14,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,23.0,23.0,flat_per_package,234.21,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,23.0,23.0,flat_per_package,239.61,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,24.0,24.0,flat_per_package,62.49,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,24.0,24.0,flat_per_package,75.35,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,24.0,24.0,flat_per_package,97.41,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,24.0,24.0,flat_per_package,149.72,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,24.0,24.0,flat_per_package,221.96,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,24.0,24.0,flat_per_package,237.39,2026-01-05,2Day.csv
