carrier,service_name,service_tier,zone,zone_region,weight_min_lbs,weight_max_lbs,rate_type,rate_usd,effective_date,source_file
FedEx,FedEx 2Day,2DAY,9,,0,0.5,flat_per_package,68.03,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,10,,0,0.5,flat_per_package,68.03,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,11,,0,0.5,flat_per_package,86.96,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,12,,0,0.5,flat_per_package,86.96,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,13,,0,0.5,flat_per_package,44.34,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,14,,0,0.5,flat_per_package,44.34,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,15,,0,0.5,flat_per_package,44.34,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,16,,0,0.5,flat_per_package,44.34,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,9,,1.0,1.0,flat_per_package,68.03,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,10,,1.0,1.0,flat_per_package,68.03,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,11,,1.0,1.0,flat_per_package,86.96,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,12,,1.0,1.0,flat_per_package,86.96,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,13,,1.0,1.0,flat_per_package,44.34,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,14,,1.0,1.0,flat_per_package,44.34,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,15,,1.0,1.0,flat_per_package,44.34,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,16,,1.0,1.0,flat_per_package,44.34,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,9,,2.0,2.0,flat_per_package,74.99,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,10,,2.0,2.0,flat_per_package,74.99,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,11,,2.0,2.0,flat_per_package,106.19,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,12,,2.0,2.0,flat_per_package,106.19,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,13,,2.0,2.0,flat_per_package,50.24,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,14,,2.0,2.0,flat_per_package,50.24,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,15,,2.0,2.0,flat_per_package,50.24,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,16,,2.0,2.0,flat_per_package,50.24,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,9,,3.0,3.0,flat_per_package,85.61,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,10,,3.0,3.0,flat_per_package,85.61,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,11,,3.0,3.0,flat_per_package,108.12,2026-01-05,2Day.csv
