Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
(CL175) CLASS 175.0 (EX175) 393 EX175 66803,(CL175) CLASS 175.0 (EX175) 393 EX175 66803,1,2625.36,Other / Uncategorized,Unclassified,none
(EX175) 103 EX175 84977,(EX175) 103 EX175 84977,1,875.26,Other / Uncategorized,Unclassified,none
(EX175) 117 EX175 42389,(EX175) 117 EX175 42389,1,495.95,Other / Uncategorized,Unclassified,none
(EX175) 123 EX175 91831,(EX175) 123 EX175 91831,1,1129.52,Other / Uncategorized,Unclassified,none
(EX175) 129 EX175 27658,(EX175) 129 EX175 27658,1,356.79,Other / Uncategorized,Unclassified,none
(EX175) 130 EX175 93006,(EX175) 130 EX175 93006,1,1209.08,Other / Uncategorized,Unclassified,none
(EX175) 135 EX175 21592,(EX175) 135 EX175 21592,1,291.49,Other / Uncategorized,Unclassified,none
(EX175) 135 EX175 66263,(EX175) 135 EX175 66263,1,894.55,Other / Uncategorized,Unclassified,none
(EX175) 135 EX175 76639,(EX175) 135 EX175 76639,1,1034.63,Other / Uncategorized,Unclassified,none
(EX175) 139 EX175 68804,(EX175) 139 EX175 68804,1,956.38,Other / Uncategorized,Unclassified,none
(EX175) 142 EX175 111431,(EX175) 142 EX175 111431,1,1582.32,Other / Uncategorized,Unclassified,none
(EX175) 143 EX175 66263,(EX175) 143 EX175 66263,1,947.56,Other / Uncategorized,Unclassified,none
(EX175) 145 EX175 77588,(EX175) 145 EX175 77588,1,1125.03,Other / Uncategorized,Unclassified,none
(EX175) 147 EX175 53975,(EX175) 147 EX175 53975,1,793.43,Other / Uncategorized,Unclassified,none
(EX175) 159 EX175 51808,(EX175) 159 EX175 51808,1,823.75,Other / Uncategorized,Unclassified,none
(EX175) 168 EX175 90538,(EX175) 168 EX175 90538,1,1521.04,Other / Uncategorized,Unclassified,none
(EX175) 174 EX175 24152,(EX175) 174 EX175 24152,1,420.24,Other / Uncategorized,Unclassified,none
(EX175) 205 EX175 105109,(EX175) 205 EX175 105109,1,2154.73,Other / Uncategorized,Unclassified,none
(EX175) 219 EX175 81785,(EX175) 219 EX175 81785,1,1791.09,Other / Uncategorized,Unclassified,none
(EX175) 220 EX175 56272,(EX175) 220 EX175 56272,1,1237.98,Other / Uncategorized,Unclassified,none
(EX175) 221 EX175 71316,(EX175) 221 EX175 71316,1,1576.08,Other / Uncategorized,Unclassified,none
