Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
GOGREEN PLUS - CARBON REDUCED,GOGREEN PLUS - CARBON REDUCED,2262,12309.0,Other / Uncategorized,Unclassified,none
Pps Critical (American Airlines),Pps Critical (American Airlines),308,26965.4,Other / Uncategorized,Unclassified,none
PREMIUM 12:00,PREMIUM 12:00,235,1175.0,Other / Uncategorized,Unclassified,none
Returns Print Label,Returns Print Label,159,186.3,Other / Uncategorized,Unclassified,none
Declared Value,Declared Value,142,4544.33,Other / Uncategorized,Unclassified,none
CONTRACT MINIMUM REACHED MCADJ ADJ,CONTRACT MINIMUM REACHED MCADJ ADJ,122,9482.55,Other / Uncategorized,Unclassified,none
Performance Pricing,Performance Pricing,118,-2522.82,Other / Uncategorized,Unclassified,none
Accessorial 2,GOGREEN PLUS - CARBON REDUCED,71,313.02,Other / Uncategorized,Unclassified,none
Print Return Label,Print Return Label,69,72.45,Other / Uncategorized,Unclassified,none
Retourzendingen 3 UPS Ophaalpogingen,Retourzendingen 3 UPS Ophaalpogingen,67,794.1999999999999,Other / Uncategorized,Unclassified,none
Standard to Canada,Standard to Canada,63,2662.05,Other / Uncategorized,Unclassified,none
Accessorial 1,GOGREEN PLUS - CARBON REDUCED,50,223.96,Other / Uncategorized,Unclassified,none
Rebill Fee,Rebill Fee,47,1198.5,Other / Uncategorized,Unclassified,none
Accessorial,DLG DEST LIFTGATE HAND-UNLOAD,47,2540.0,Other / Uncategorized,Unclassified,none
T/C,T/C,45,4082.4,Other / Uncategorized,Unclassified,none
W/C,W/C,45,6804.0,Other / Uncategorized,Unclassified,none
AWB,AWB,45,191.25,Other / Uncategorized,Unclassified,none
,,44,1676.5,Other / Uncategorized,Unclassified,none
Dash Critical (Delta Airlines),Dash Critical (Delta Airlines),42,3690.0,Other / Uncategorized,Unclassified,none
Toeslag afh. afgel. gebied-bestem.,Toeslag afh. afgel. gebied-bestem.,40,1262.0,Other / Uncategorized,Unclassified,none
Accessorial,Cargo Screening/X-Ray,38,2539.24,Other / Uncategorized,Unclassified,none
Retourzendingen Pre-vrijgave bericht toeslag,Retourzendingen Pre-vrijgave bericht toeslag,38,731.5,Other / Uncategorized,Unclassified,none
PPS Critical (American Airlines),PPS Critical (American Airlines),38,3314.35,Other / Uncategorized,Unclassified,none
DGAC,DGAC,35,411.0,Other / Uncategorized,Unclassified,none
ISS,ISS,33,1749.58,Other / Uncategorized,Unclassified,none
AIR AMS FEE,AIR AMS FEE,28,700.0,Other / Uncategorized,Unclassified,none
Standard,Standard,28,923.04,Other / Uncategorized,Unclassified,none
SCREENING,SCREENING,28,902.69,Other / Uncategorized,Unclassified,none
FSC ADDER,FSC ADDER,26,13024.4,Other / Uncategorized,Unclassified,none
